STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750602,72,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750603,69,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750604,77,55
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750605,84,60
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750606,80,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750607,85,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750608,73,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750609,72,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750610,72,56
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750611,81,61
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750612,80,61
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750613,78,61
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750614,84,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750615,82,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750616,76,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750617,80,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750618,83,64
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750619,90,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750620,92,71
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750621,92,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750622,91,72
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750623,89,71
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750624,88,68
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750625,87,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750626,88,67
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750627,82,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750628,87,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750629,89,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750630,88,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750701,89,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750702,89,65
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750703,92,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750704,90,70
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750705,89,64
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750706,86,63
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750707,84,65
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750708,84,66
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750709,89,67
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750710,85,61
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750711,79,58
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750712,75,58
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750713,79,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750714,68,51
